DATE,Per Capita,Immigration Count,Inflation,Construction,Purchasing,Rent,Target
2000-01-01,6121.964933333334,278608.3333333333,0.516925,2035.0,59.2,379.7,100.0
2000-02-01,12243.929866666667,557216.6666666666,1.03385,2039.2,58.9,380.7,100.571
2000-03-01,18365.894800000002,835825.0,1.5507749999999998,2039.1000000000004,58.4,381.9,101.46600000000001
2000-04-01,24487.859733333335,1114433.3333333333,2.0677,2037.7999999999997,58.4,382.5,102.541
2000-05-01,30609.824666666667,1393041.6666666665,2.584625,2041.7000000000003,58.3,383.6,103.70200000000001
2000-06-01,36731.789600000004,1671650.0,3.1015499999999996,2037.4999999999998,58.0,386.1,104.855
2000-07-01,42853.75453333333,1950258.3333333333,3.6184749999999997,2027.8999999999999,57.9,388.1,105.72200000000001
2000-08-01,48975.71946666667,2228866.6666666665,4.1354,2022.2,57.9,389.6,106.522
2000-09-01,55097.684400000006,2507475.0,4.652324999999999,2014.7,57.6,391.0,107.135
2000-10-01,61219.649333333335,2786083.333333333,5.16925,2010.9,57.5,391.9,107.728
2000-11-01,67341.61426666667,3064691.6666666665,5.6861749999999995,1999.2,57.4,392.70000000000005,108.291
2000-12-01,73463.57920000001,3343300.0,6.203099999999999,1996.1999999999998,57.5,394.5,108.791
2001-01-01,6260.948566666666,212121.75,0.36768333333333336,1999.5999999999997,57.1,398.2,109.214
2001-02-01,12521.897133333332,424243.5,0.7353666666666667,2010.2000000000003,56.9,399.4,109.64200000000001
2001-03-01,18782.845699999998,636365.25,1.10305,2008.5000000000002,56.7,400.2,110.39399999999999
2001-04-01,25043.794266666664,848487.0,1.4707333333333334,2009.6000000000001,56.5,400.79999999999995,111.24799999999999
2001-05-01,31304.74283333333,1060608.75,1.8384166666666668,2007.4999999999998,56.3,402.4,112.20299999999999
2001-06-01,37565.691399999996,1272730.5,2.2061,2005.2,56.2,404.9,113.272
2001-07-01,43826.63996666666,1484852.25,2.5737833333333335,2007.0000000000002,56.3,406.0,114.226
